State or other jurisdiction,Year,Value,Type
FLSA,1988,3.35,Minimum Wage
Alabama,1988,...,Minimum Wage
Alaska,1988,3.85,Minimum Wage
Arizona,1988,...,Minimum Wage
Arkansas,1988,3.25,Minimum Wage
California,1988,3.35,Minimum Wage
Colorado,1988,3,Minimum Wage
Connecticut,1988,3.75,Minimum Wage
Delaware,1988,3.35,Minimum Wage
Florida,1988,...,Minimum Wage
Georgia,1988,3.25,Minimum Wage
Hawaii,1988,3.85,Minimum Wage
Idaho,1988,2.3,Minimum Wage
Illinois,1988,2.3,Minimum Wage
Indiana,1988,2,Minimum Wage
Iowa,1988,...,Minimum Wage
Kansas,1988,1.6,Minimum Wage
Kentucky,1988,3.35,Minimum Wage
Louisiana,1988,...,Minimum Wage
Maine,1988,3.65,Minimum Wage
Maryland,1988,3.35,Minimum Wage
Massachusetts,1988,3.65,Minimum Wage
Michigan,1988,3.35,Minimum Wage
Minnesota,1988,3.5,Minimum Wage
Mississippi,1988,...,Minimum Wage
Missouri,1988,...,Minimum Wage
Montana,1988,3.35,Minimum Wage
Nebraska,1988,3.35,Minimum Wage
Nevada,1988,3.35,Minimum Wage
New Hampshire,1988,3.55,Minimum Wage
New Jersey,1988,3.35,Minimum Wage
New Mexico,1988,3.35,Minimum Wage
New York,1988,3.35,Minimum Wage
North Carolina,1988,3.35,Minimum Wage
North Dakota,1988,3.1,Minimum Wage
Ohio,1988,2.3,Minimum Wage
Oklahoma,1988,3.35,Minimum Wage
Oregon,1988,3.35,Minimum Wage
Pennsylvania,1988,3.35,Minimum Wage
Rhode Island,1988,3.65,Minimum Wage
South Carolina,1988,...,Minimum Wage
South Dakota,1988,2.8,Minimum Wage
Tennessee,1988,...,Minimum Wage
Texas,1988,3.35,Minimum Wage
Utah,1988,2.75,Minimum Wage
Vermont,1988,3.55,Minimum Wage
Virginia,1988,2.65,Minimum Wage
Washington,1988,2.3,Minimum Wage
West Virginia,1988,3.35,Minimum Wage
Wisconsin,1988,3.35,Minimum Wage
Wyoming,1988,1.6,Minimum Wage
District of Columbia,1988,4.85,Minimum Wage
FLSA,1991,3.8,Minimum Wage
Alabama,1991,...,Minimum Wage
Alaska,1991,4.3,Minimum Wage
Arizona,1991,...,Minimum Wage
Arkansas,1991,3.35,Minimum Wage
California,1991,4.25,Minimum Wage
Colorado,1991,3,Minimum Wage
Connecticut,1991,4.25,Minimum Wage
Delaware,1991,3.8,Minimum Wage
Florida,1991,...,Minimum Wage
Georgia,1991,3.25,Minimum Wage
Hawaii,1991,3.85,Minimum Wage
Idaho,1991,3.8,Minimum Wage
Illinois,1991,3.8,Minimum Wage
Indiana,1991,3.35,Minimum Wage
Iowa,1991,4.25,Minimum Wage
Kansas,1991,2.65,Minimum Wage
Kentucky,1991,3.8,Minimum Wage
Louisiana,1991,...,Minimum Wage
Maine,1991,3.85,Minimum Wage
Maryland,1991,3.8,Minimum Wage
